sex,final_math_grade
F,30
F,30
F,50
F,75
F,50
M,75
M,55.00000000000001
F,30
M,95
M,75
F,45
F,60
M,70
M,55.00000000000001
M,80
F,70
F,70
F,50
M,25
M,50
M,75
M,75
M,80
M,60
F,40
F,40
M,55.00000000000001
M,75
M,55.00000000000001
M,55.00000000000001
M,60
M,85
M,80
M,60
M,75
F,30
M,90
M,75
F,55.00000000000001
F,65
F,55.00000000000001
M,60
M,90
M,55.00000000000001
F,45
F,30
F,55.00000000000001
M,100
M,70
F,35
F,65
F,65
M,50
F,55.00000000000001
F,65
F,50
F,75
M,75
M,45
F,80
F,55.00000000000001
F,55.00000000000001
F,45
F,45
F,50
F,75
M,60
F,30
F,40
F,80
M,75
M,50
F,25
M,70
F,55.00000000000001
M,50
M,50
F,55.00000000000001
M,50
F,25
M,60
M,55.00000000000001
F,30
M,75
F,50
F,40
F,30
F,70
M,50
M,35
F,40
F,90
F,30
F,50
M,70
F,50
M,75
F,50
F,70
F,40
M,25
M,85
M,70
F,30
M,90
F,55.00000000000001
F,40
M,90
M,65
F,80
M,95
F,50
F,65
M,95
M,45
M,80
M,70
M,65
M,40
M,65
F,75
M,75
F,65
M,65
F,40
M,60
F,55.00000000000001
F,45
M,0
M,90
F,0
F,0
F,60
F,55.00000000000001
M,0
F,0
M,0
F,0
M,60
F,75
M,0
M,45
F,55.00000000000001
F,65
M,0
F,55.00000000000001
F,0
F,55.00000000000001
M,0
M,50
M,0
M,70
F,50
M,0
F,60
M,40
M,65
F,50
M,75
M,60
M,0
M,35
M,0
M,50
M,35
M,60
M,50
F,80
F,0
F,70
M,0
M,80
M,50
F,0
F,45
M,45
F,55.00000000000001
M,30
M,45
M,55.00000000000001
M,40
M,60
F,85
F,40
F,60
M,55.00000000000001
M,55.00000000000001
M,75
F,45
M,50
F,65
F,45
M,40
M,50
M,70
F,75
M,80
M,50
F,90
F,50
F,80
F,50
F,50
F,30
F,55.00000000000001
F,45
F,35
F,65
F,50
F,35
F,40
M,65
F,70
M,40
F,50
F,75
F,20
M,40
F,40
F,50
F,30
F,0
F,85
M,65
F,70
F,35
F,75
M,60
M,45
F,60
F,70
M,55.00000000000001
M,45
M,65
M,30
M,50
M,65
F,60
F,55.00000000000001
M,0
M,60
M,60
M,0
M,60
F,0
M,90
M,65
M,40
M,25
M,75
M,40
M,50
M,40
M,40
M,60
M,40
F,65
M,55.00000000000001
M,70
F,0
F,90
M,40
M,60
F,45
F,0
M,85
M,50
F,55.00000000000001
M,50
F,0
F,45
F,70
F,55.00000000000001
M,70
F,50
F,60
F,45
M,45
F,40
M,50
M,40
M,50
F,60
F,50
F,55.00000000000001
M,55.00000000000001
F,95
F,60
M,70
M,75
M,55.00000000000001
F,75
F,65
F,90
M,70
M,55.00000000000001
F,0
F,40
F,70
M,80
F,55.00000000000001
M,50
F,70
F,90
M,65
F,60
M,90
M,40
M,60
F,50
F,0
F,65
M,55.00000000000001
F,55.00000000000001
F,65
F,55.00000000000001
F,0
F,45
F,50
F,55.00000000000001
F,65
F,45
F,55.00000000000001
F,75
F,75
M,55.00000000000001
M,80
M,50
F,45
F,70
M,40
F,70
F,0
F,0
F,0
F,75
F,65
F,0
F,85
F,50
F,55.00000000000001
M,0
M,75
F,0
F,50
F,70
M,80
M,45
F,75
M,65
M,40
M,65
M,40
M,40
M,55.00000000000001
F,45
F,65
F,55.00000000000001
M,50
F,80
F,65
M,60
F,50
F,75
F,60
M,50
M,65
F,0
F,50
F,55.00000000000001
F,45
M,60
F,55.00000000000001
F,25
F,95
F,50
F,75
F,50
F,75
F,50
M,70
M,35
M,50
M,0
M,25
F,50
F,30
F,0
F,40
F,0
M,45
M,80
M,35
M,50
M,45
